Strain	Megaplasmid	Chromid	Either	Both	Overall
Neisseria_sicca	0	0	0	0	0
Neisseria_sp	0	0	0	0	0
Neisseria_weaveri	0	0	0	0	0
Neisseria_zoodegmatis	0	0	0	0	0
Nitrosomonas_communis	0	0	0	0	0
Nitrosomonas_europaea	0	0	0	0	0
Nitrosomonas_eutropha	0	0	0	0	0
Nitrosomonas_sp	0	0	0	0	0
Nitrosomonas_ureae	0	0	0	0	0
Nitrosospira_briensis	0	0	0	0	0
Nitrosospira_lacus	0	0	0	0	0
Nitrosospira_multiformis	0	0	0	0	0
Orrella_dioscoreae	0	0	0	0	0
Ottowia_sp	0	0	0	0	0
Oxalobacter_formigenes	0	0	0	0	0
Paenalcaligenes_hominis	0	0	0	0	0
Pandoraea_apista	0	0	0	0	0
Pandoraea_faecigallinarum	1	0	1	0	1
Pandoraea_norimbergensis	0	0	0	0	0
Pandoraea_oxalativorans	1	0	1	0	1
Pandoraea_pnomenusa	0	0	0	0	0
Pandoraea_pulmonicola	0	0	0	0	0
Pandoraea_sputorum	0	0	0	0	0
Pandoraea_thiooxydans	0	0	0	0	0
Pandoraea_vervacti	0	0	0	0	0
Paraburkholderia_caribensis	1	1	1	1	2
Paraburkholderia_fungorum	1	1	1	1	2
Paraburkholderia_phenoliruptrix	1	1	1	1	2
Paraburkholderia_phymatum	1	1	1	1	2
Paraburkholderia_phytofirmans	0	1	1	0	2
Paraburkholderia_rhizoxinica	1	0	1	0	1
Paraburkholderia_sp	1	1	1	1	2
Paraburkholderia_sprentiae	1	1	1	1	2
Paraburkholderia_xenovorans	1	1	1	1	2
Paucibacter_sp	0	0	0	0	0
Polaromonas_naphthalenivorans	1	0	1	0	1
Polaromonas_sp	1	0	1	0	1
Polyangium_brachysporum	0	0	0	0	0
Polynucleobacter_asymbioticus	0	0	0	0	0
Polynucleobacter_duraquae	0	0	0	0	0
Polynucleobacter_necessarius	0	0	0	0	0
Polynucleobacter_wuianus	0	0	0	0	0
Pseudogulbenkiania_sp	0	0	0	0	0
Pseudomonas_mesoacidophila	0	1	1	0	2
Pusillimonas_sp	0	0	0	0	0
